rank,channel_name,channel_url,score,seed_coverage_pct,seed_appearances,total_occurrences,average_rank,best_rank,discounted_rank_score,sample_videos
20,ドクターハッシー/内科医 橋本将吉,,27.34,30.0,6,7,8.0,5,2.2642,【魔の時間】動脈硬化になる人は、朝の7時に決まった習慣がありました。 | 【2026年完全版】最新研究で分かった、LDL/悪玉コレステロールが高い人が薬を飲む前にやるべきこと
21,ゆっくり怪奇事件簿,,26.43,30.0,6,6,9.17,4,1.9075,東電OL事件。真犯人の正体と被害者が狙われた本当の理由【ゆっくり解説】
22,あやか先生 内科医 ・認知症医 白土綾佳,,25.49,30.0,6,6,14.5,11,1.5353,【ADHD】集中できない本当の理由。ドーパミンを知れば脳は変わる
23,吉野敏明チャンネル〜日本の病を治す〜,,25.41,30.0,6,6,15.67,9,1.5052,ワキガ・体臭は本当に遺伝なのか!? 手術でも治らない…その原因は食生活かもしれない
24,しいたけクライム,,25.31,30.0,6,6,16.5,12,1.4629,15才で終身刑を宣告された少女 カーリー・グレッグ
25,あゝ、激動ノ時代ヲ。,,23.05,25.0,5,5,5.4,3,1.9923,大正天皇｜近代日本史最大のタブー。47歳の若さで崩御した謎多き生涯【第一次世界大戦】
26,ドラレコニュース【交通安全事故違反取締りチャンネル】,,22.09,25.0,5,5,10.4,4,1.6139,【ドラレコ】突然！目の前で軽自動車が…こんなの無理だろ！衝撃の瞬間25選最新ドラレコ交通安全危険予知
27,真相深入り! 虎ノ門ニュース,,22.0,25.0,5,5,8.6,6,1.5796,【決定的証拠】佐藤二朗氏と橋本愛氏の文春報道で冤罪確定となる現場の声 ※フジテレビハラスメント疑惑の真相※ 長谷川豊×須田慎一郎 対談SP （虎ノ門ニュース）
28,イッヌネコ大学,,17.26,20.0,4,4,12.25,6,1.1297,初めての留守番を隠し撮りしたら大号泣してました⋯ | はじめて家に友達が遊びに来たら柴犬がこうなりました
29,拙者の出番じゃ!,,14.94,15.0,3,3,6.0,1,1.6352,豊臣秀長の最期！52歳で死去した残酷すぎる晩年【豊臣兄弟！】
30,ABEMAニュース【公式】,,12.95,15.0,3,3,11.33,9,0.8467,"【独占】misono 夫の精巣がん・不妊治療を経て母親に…男児誕生の瞬間の記録映像も 姉・倖田來未ら“家族報告会”にカメラ潜入｜NO MAKE | 【小林尊】「90秒で12Lの水を飲む」大食いで過酷トレーニング…代償は""原因不明の体の異変” 番組出演時代の収入は｜NO MAKE"
31,秘密結社コヤミナティ,,12.83,15.0,3,3,14.67,7,0.8001,イーロンが語る数年後…地獄の未来が待っていました【 都市伝説 MATT SHOW 闇の3日間 】 | 陰謀論ではない…京都大学のウイルス学者が暴露した真実【 都市伝説 MATT SHOW 闇の3日間 】
32,精神科医竹内ひびきのメンタルヘルスCh,,12.82,15.0,3,3,13.0,10,0.7991,【ADHD/ASD】一瞬で分かる!?発達障害で体力がない人の5つの特徴【精神科医と公認心理師が語る】
33,WELD VTQ,,12.8,15.0,3,3,13.33,11,0.789,世界中の何十億人もの人々がこのツールの秘密を知りません |素晴らしいDIYツール
34,NewsPicks /ニューズピックス,,12.27,10.0,2,2,1.0,1,2.0,「淡々と殺されたくない」養老孟司が懸念する“戦争の手続化”…「いつも気になるのは北の偉い人」”養老流”世界の見方、コロナで感じた詐欺表現「自民党は憲法改正本気なの？」感情教育の必要性とは？【落合陽一】 | インテリジェンス流・人脈の正体／友情に利害は必要か／「東大卒は出世できない」学歴の限界／AIに奪われる仕事 エリートから消えていく「生き残るのは占い師」（佐藤優×古市憲寿）#知性密談
35,魔裟斗チャンネル,,10.83,10.0,2,2,2.5,1,1.4307,ラランドのニシダがあまりにも強すぎた【筋トレ未経験の異常個体】
36,Inventor 247,,9.7,10.0,2,2,4.0,2,0.9871,古いコンピューターのハードドライブを捨てないでください😱何十億もの人々がこの秘密を知りません | 鍵なしで緊急ドアを開けるたった2分😱何十億もの人々がこの秘密を知らない！
37,楽待 RAKUMACHI,,9.46,10.0,2,2,7.5,2,0.8936,【量子コンピューター】経済効果1000兆円超!? 実用化いつ?／がん特効薬開発・暗号解読が容易に!?／従来型コンピューターとの”分業”から始まる／核融合でエネルギー革命が起こる《野村泰紀が徹底解説》 | 【アレン様×中村うさぎ】恋人に期待するな！人間よりカネを信じろ！金なし人生でも後悔しない生き方《禁断の初共演②》
38,旅する家の物語,,9.31,10.0,2,2,5.0,3,0.8333,世界一小さい1畳の家を作ってみた！トイレ・シャワー・キッチン全部入り！
39,街録ch〜あなたの人生、教えて下さい〜,,9.15,10.0,2,2,7.5,3,0.7702,元イスラエル兵/600万人が虐○されたユダヤ人がガサ侵攻で数千人の子供○す訳/終わらない戦争と洗脳 | アンダークラス最貧困増やす高市政権/最低賃金引き上げ取り止め超格差社会へ/社会学者 橋本健二
40,おーちゃんねる,,9.14,10.0,2,2,5.5,4,0.764,オニヤンマにオオスズメバチを近づけると...
41,コヤッキーチャンネル【開運バラエティ】,,9.14,10.0,2,2,5.5,4,0.764,占い師に嘘つかれて揉めた
42,SHARE CORNER,,9.02,10.0,2,2,6.0,5,0.7202,えのきに卵をかけると奇跡が起こる！母が教えてくれた驚きのレシピ！
43,人生最後のダイエットチャンネル,,8.77,10.0,2,2,12.0,5,0.6182,【脂肪肝】何をやっても痩せない本当の理由。14日で数値を正常化する最強の食べ物5選
44,カンテレNEWS,,8.74,10.0,2,2,10.5,6,0.6062,「捨てずに片付け」で部屋がスッキリ！ 収納のプロ・古堅純子さんが教える“新常識”の片付け術 豊崎由里絵さんの自宅を大改造｜旬感LIVE とれたてっ!〈カンテレNEWS〉
45,年金・給付金完全攻略チャンネル,,8.73,10.0,2,2,9.0,8,0.6045,【50歳以上必須】申請しないと大損！ねんきん定期便に載らない年金4選！
46,レバナス1本リーマン,,8.61,10.0,2,2,11.5,9,0.557,【速報】国がありとあらゆる資産を投売りました…一体何が起きているんだ？！ | 【逃げろ】超大物投資家がとんでもない事を言いました。
47,ナカイドのゲーム情報チャンネル,,8.58,10.0,2,2,12.5,9,0.5457,プレステ33年の歴史に幕…ディスク版廃止で炎上、署名21万件、DL版85%の現実。
48,Inventor New,,8.56,10.0,2,2,12.5,11,0.5349,この秘密を知れば、もう二度と新しいテレビリモコンを買う必要はありません！あらゆるテレビリモコンを修理する方法！😱
49,Novella,,8.53,10.0,2,2,13.0,12,0.5262,Most Incredible Cruise Ship Videos Ever Captured
50,TactiScope,,8.49,10.0,2,2,15.0,11,0.5103,プーチンの軍用補給列車がクリミアに進入、直後にウクライナが爆破
51,占いTV Love Me Do ラブちゃん,,8.43,10.0,2,2,17.0,14,0.4836,【知らないと損！】7月の運気がアップする開運アクション7選
52,永田ラッパ〜食事を楽しく幸せに〜,,8.4,10.0,2,2,18.0,16,0.4723,【7月6日破産】全東信で未入金2万店舗…飲食店が取るべき手順
53,髙橋洋一チャンネル,,8.38,10.0,2,2,18.5,17,0.4675,7/11LIVE！AI犯罪低年齢化・週刊誌報道と国会・中国が強気に？
54,TBS CROSS DIG with Bloomberg,,6.93,5.0,1,2,4.5,1,1.3155,【重力を説明できない→この世界が2次元からのホログラムと考えれば計算できる】物理学者・橋本幸士／量子もつれから時空が創発／ブラックホールとエントロピーの関係からたどり着いた【ULTRASCIENCE】 | 【量子もつれを利用した究極の暗号通信「量子テレポーテーション」は時空の言葉でワームホールか】宇宙物理学者・野村泰紀とは何者か【CROSS DIG 1on1】
55,ReHacQ−リハック−【公式】,,6.5,5.0,1,4,12.0,6,1.1426,【野村泰紀vs核融合】エネルギー革命！物理学者が語る未来とは？【ReHacQ高橋弘樹】 | 【高橋弘樹vs物理学者】失われた30年…なぜ？量子コンピュータで日本が勝つ方法とは？【ReHacQvs藤井啓祐】 | 【高橋弘樹vs藤井啓祐】AIを超える衝撃！？暗号が無意味に...量子コンピュータで何が起こる?【ReHacQ】
56,【科学の教養】ブルーバックスチャンネル,,5.34,5.0,1,2,9.0,4,0.6866,【野村泰紀】ゼロからの量子力学／なぜモノは机をすり抜けないのか？／「とびとび力学」としての量子論／「並行世界は存在する」といえるワケ／量子コンピュータ…物理学者・野村泰紀#2【BLUE BACKS+】 | 【橋本幸士】物理学者はどんな本を読んでいるのか？／宇宙物理学の名著／「量子力学」を理解するヒント／二次元・ホログラフィー・四次元／科学を学ぶなら「シャーロック・ホームズ」を読め【ブルーバックス出張編】
57,メシのタネ,,5.2,5.0,1,1,2.0,2,0.6309,【漫画】食べ放題の店員が頼まない食べ物。原価率約35％…食品の状態で使い分ける…【メシのタネ】
58,コヤッキーチャンネル【開運バラエティ】、ゆとりくんチャンネル,,5.2,5.0,1,1,2.0,2,0.6309,【人間関係】年商142億円、天才社長が語る関わらない方がいい人間の特徴とは【 ゆとりくん 】
59,lucaas,,5.2,5.0,1,1,2.0,2,0.6309,カメラが捉えた最悪の着陸失敗映像
60,アクション、アドベンチャー • 2012,,5.2,5.0,1,1,2.0,2,0.6309,バトルシップ
61,ロシア解体新書、大人の学び直しTV,,4.87,5.0,1,1,3.0,3,0.5,なぜロシアは絶対に核兵器を使えないのか？【３つの理由】
62,大人の教養TV,,4.87,5.0,1,1,3.0,3,0.5,【養老町】被差別部落が栄えた裏側とは？現地からわかりやすく解説
63,季節を感じる癒しのBGMチャンネル,,4.87,5.0,1,1,3.0,3,0.5,【夏カフェBGM】初夏の空気感じる🏝️穏やか朝ボサノバ｜作業用BGM｜
64,テレ東BIZ ダイジェスト,,4.81,5.0,1,2,17.5,16,0.476,記憶の定着に関するメカニズムを解明！最新脳細胞研究 長井淳（理化学研究所 脳神経科学研究センター・チームディレクター）【いまからサイエンス】 | 超知能AIは人類を“必ず”滅ぼすか～『超知能AIをつくれば人類は絶滅する』を橋本幸治と読み解く【豊島晋作のテレ東ワールドポリティクス】
65,タロサックの海外生活ダイアリーTAROSAC,,4.69,5.0,1,1,4.0,4,0.4307,【カタコト英語】ネイティブにはこう聞こえてる
66,ガクの本棚,,4.58,5.0,1,1,5.0,5,0.3869,織田信長の妻の残酷な末路。信長が愛した女性たちの『その後』が悲惨すぎた。
67,PIVOT 公式チャンネル,,4.58,5.0,1,1,5.0,5,0.3869,【宇宙は幻なのか？】京大教授「ホログラフィック原理」・橋本幸士／タイムトラベルは可能なのか？／シン・エヴァンゲリオン物理学監修／学習物理学を新しく開拓する【EXTREME SCIENCE】
68,すみれの咲く頃に〜行政書士になる〜開業奮闘記,,4.58,5.0,1,1,5.0,5,0.3869,行政書士試験の失敗談を話します！
69,やるせな語学チャンネル,,4.58,5.0,1,1,5.0,5,0.3869,巷の英語教員が普段使っている辞書たち。
70,THE FIRST TAKE,,4.5,5.0,1,1,6.0,6,0.3562,T.M.Revolution - HOT LIMIT / THE FIRST TAKE
71,Kenji Spirit,,4.5,5.0,1,1,6.0,6,0.3562,人生変えたい人必見。手放していいものと絶対手放してはいけないもの
72,一日ひとつの心理学,,4.44,5.0,1,1,7.0,7,0.3333,🇯🇵天才の脳は作れます。たった3日で脳を40倍アップグレードする方法【脳科学的勉強法
73,永松茂久チャンネル,,4.4,5.0,1,1,8.0,8,0.3155,【「才能」じゃない】なぜあの人は応援されるのか？
74,心を射る名言,,4.4,5.0,1,1,8.0,8,0.3155,【美輪明宏】99%の人が見逃している真実。運気が急上昇する「神の使い」と、破滅を呼ぶ「警告虫」｜偉人｜名言｜言葉の力｜人生哲学｜
75,KO1KEYZ,,4.4,5.0,1,1,8.0,8,0.3155,KO1KEYZ(コイキーズ)｜メンバーカラー決定
76,富士地震火山研究所byえいしゅう博士,,4.36,5.0,1,1,9.0,9,0.301,【速報！】なんと地球の内核の回転が停止と逆回転の可能性との報道発表！わかりやすく解説します！
77,捨て活で人生好転TV【ETSUKO】,,4.36,5.0,1,1,9.0,9,0.301,【全捨て】６５歳までに捨てないと不幸になる絶対捨てるべき１０個の物
78,おーちゃん【元外銀マン】,,4.36,5.0,1,1,9.0,9,0.301,【遂に始まった…？】日米株価に怪しい兆し…ゴールデンタイムは終了したのか？｜今、私たち個人投資家は何をするべきなのか【元ゴールドマンサックスが徹底解説】
79,スーツ 旅行 / Suit Travel,,4.33,5.0,1,1,10.0,10,0.2891,【シングルDX】サンライズ出雲の最高額の個室に乗ってみた
80,東京新聞チャンネル,,4.31,5.0,1,1,11.0,11,0.2789,望月衣塑子が行く れいわ山本代表の元秘書が明かすスピード違反、レンタカー契約の真相 代表辞任の会見をどう見た？
81,丸儲け住職 -ブッダの教えで人生好転-,,4.31,5.0,1,1,11.0,11,0.2789,【7/13〜7/19】家のこの場所に花を飾る人はご先祖様と深く繋がり、ご加護が得られる！この週の開運行動とNG行動を発表！【吉日/凶日/運勢】
82,ABEMA Prime #アベプラ【公式】,,4.31,5.0,1,1,11.0,11,0.2789,【1秒】60年ぶりに長さ変わる…ってどゆこと？人類の進歩？量子物理学者・野村泰紀×ひろゆき｜アベプラ
83,Sun,,4.31,5.0,1,1,11.0,11,0.2789,【最新】橋本愛さんを巡る一連の報道になり大炎上...…黒歴史が暴露!!
84,SBSnews6,,4.28,5.0,1,1,12.0,12,0.2702,"「山頂で誕生日を迎えたい」富士山の富士宮・御殿場ルートが山開き 83歳の""ミスター富士山""は2251回目の登頂 ふもとのグルメもますます充実＝静岡"
85,olly club (オリークラブ),,4.28,5.0,1,1,12.0,12,0.2702,【インタビュー】＜前編＞不登校の原因はいじめではない？その原因は”家庭への不満”！？ #教員 #教育 #学校現場 #不登校
86,Cool Cars In Japan,,4.28,5.0,1,1,12.0,12,0.2702,【覆面パトカー vs 爆走フェラーリ‼️】推定１５０キロで猛追⁉️ [速度取り締まり]
87,豆柴うに＆ゴールデンレトリバーおから UNI＆OKARA,,4.27,5.0,1,1,13.0,13,0.2626,2歳児が追い回されていると勘違いして守ろうとする豆柴が頼もしすぎました...
88,佐久間宣行のNOBROCK TV,,4.27,5.0,1,1,13.0,13,0.2626,【操り無双】操り師板倉が相性抜群の女優を操縦したら、振り回された三四郎小宮がぶっ壊れる！
89,THE PAGE（ザ・ページ）,,4.27,5.0,1,1,13.0,13,0.2626,山本太郎氏「やめた。やりません、もう」 国会議員への復帰を否定（2026年7月9日）
90,ナイトinナイト【ABCテレビ公式】,,4.27,5.0,1,1,13.0,13,0.2626,【かまいたち】熱狂的サッカーファンがJリーグレジェンドに答えてほしいこと＜Jリーグ編＞「これ余談なんですけど...」ナイトinナイト
91,Kaien公式チャンネル【強み×仕事×自立】,,4.27,5.0,1,1,13.0,13,0.2626,発達障害を暴露したのは「人格権侵害」 判決から考える職場での対応（朝日新聞）【2026.7.11（土）8:30】#発達障害 #精神障害
92,東京大学 吉田塁 研究室,,4.25,5.0,1,1,14.0,14,0.256,AIエージェント講座（東京大学メタバース工学部ジュニア講座）
93,読売テレビニュース,,4.23,5.0,1,1,15.0,15,0.25,1年間に約4500万円かけ海外視察 …3年でハワイに5回…ナゼ！？ “疑惑”の福岡県議会を松井一郎氏が斬る！【ニュース ジグザグ】
94,Kazu Languages,,4.23,5.0,1,1,15.0,15,0.25,【※神回】日本語ペラペラのポーランド美女と1年ぶりに日本で再会して誕生日サプライズしたら…
95,「かくじかん」,,4.23,5.0,1,1,15.0,15,0.25,noteを好き勝手に書くだけで暮らせる生成AIをつかった「永久機関」の作り方
96,viele Rezepte,,4.23,5.0,1,1,15.0,15,0.25,私はほぼ毎日、朝食にこのキャベツと卵を調理します。とても美味しくて、簡単で、早いです！# 292
97,シューフィッター佐藤靖青(旧・こまつ) 足と靴のスペシャリスト,,4.22,5.0,1,1,16.0,16,0.2447,【知らないと損】サンダルで一番危険なのはこれです
98,Papa Ruzz,,4.22,5.0,1,1,16.0,16,0.2447,ミスター・ビーン、著名人たちが笑いすぎて涙目に！ノンストップ映像集
99,人生を読む,,4.22,5.0,1,1,16.0,16,0.2447,"外見など見るな…女性を見るなら、""ここ""を見ろ――本当に徳のある女性は、必ずそこに出る 【北野武】"
100,積読チャンネル,,4.22,5.0,1,1,16.0,16,0.2447,【悲報】人類はフェイクニュースに勝てません。
101,フラット6ガレージ 【FLAT6GARAGE】,,4.22,5.0,1,1,16.0,16,0.2447,カタログでは分からない、本当のオイル選び
102,ABEMA【アベマ】公式,,4.21,5.0,1,1,17.0,17,0.2398,【衝撃】「修学旅行で…」13歳で妊娠発覚、14歳で出産…シンママの壮絶人生と衝撃エピソードにスタジオも驚愕『ななにー 地下ABEMA』毎週日曜よる8時〜ABEMAで無料放送中 #ななにー
103,Calma Musica - Soothing Sound -,,4.21,5.0,1,1,17.0,17,0.2398,【ゾーンに入るBGM】音響心理学に基づいた集中力を高める音楽 │ 科学的アプローチで認知特性を考慮した作業・仕事・勉強用アンビエントミュージック
104,ABEMA バラエティ【公式】,,4.21,5.0,1,1,17.0,17,0.2398,AI就職氷河期が始まる！？加速するAI職奪と生き残る仕事とは…？｜【ナオキマンの都市伝説ワイドショー3】毎週火曜よる11時〜ABEMAで無料配信
105,速報,,4.21,5.0,1,1,17.0,17,0.2398,海外で行われたChatGPTの研究、とんでもない結果になり話題になってしまうwwww
106,ビューティースタジアム,,4.21,5.0,1,1,17.0,17,0.2398,"ゆいぴす""騒動""後初収録！ アレン様✕ゆいぴす✕あっすんVSひろゆき 整形は必要？容姿を磨くなら⋯努力VS整形【美しすぎる怪物たち | 整形の本音トーク】"
107,Diy tips,,4.2,5.0,1,1,18.0,18,0.2354,鍵をなくした時に、たった5秒でドアを開ける方法！ マッチ棒だけでできます。
108,政経プラットフォーム,,4.2,5.0,1,1,18.0,18,0.2354,皇室消滅の危機！皇室典範改正で何が変わる？男系継承を守るための「禁じ手」と真相 宇山卓栄氏 #745
109,人間のトリビア,,4.2,5.0,1,1,18.0,18,0.2354,【漫画】「もっと早くやっておけば…」手遅れになる前に、体が元気なうちに絶対やるべき7つのこと
110,柴犬ロックちゃんねる。,,4.2,5.0,1,1,18.0,18,0.2354,ドッグランで噛まれしまった柴犬、病院で診てもらったら予想外の結果でした…
111,福岡・佐賀 KBC NEWS,,4.2,5.0,1,1,18.0,18,0.2354,新証言 元副議長「カネ払わされた」 福岡県議会の現金授受疑惑【ぎゅっと】(2026年7月9日OA)
112,SixTONES,,4.19,5.0,1,1,19.0,19,0.2314,マイオンリー
113,TOLAND VLOG,,4.19,5.0,1,1,19.0,19,0.2314,【エノク書】すべての真実を語ります。覚悟してご覧ください。
114,サクッと ! ホリエモン【切り抜き】,,4.19,5.0,1,1,19.0,19,0.2314,【ホリエモン】オリラジ中田完全終了です。
115,Home Art Gallery,,4.19,5.0,1,1,19.0,19,0.2314,Meditative HD Fine Art Screensaver for TV - Japanese Prints
116,木村拓哉,,4.18,5.0,1,1,20.0,20,0.2277,【木村さ〜〜ん！】緊急会議！？木村先輩vs後輩たちの熱き戦いが開幕！
117,大人の学び直しTV,,4.18,5.0,1,1,20.0,20,0.2277,【ここにお金が流れる！】政府の「骨太の方針2026」を徹底解説します【370兆円】
118,バンドマンしか知らないセカイ / 平井拓郎,,4.18,5.0,1,1,20.0,20,0.2277,天才ミュージシャンが一瞬で消える理由｜生存戦略の核心
119,XU (クロスユー) - X innovation empowers U,,4.18,5.0,1,1,20.0,20,0.2277,【猫が生きていて同時に死んでいる？】量子力学を代表する思考実験「シュレディンガーの猫」から、iPhoneやMRIなど現代テクノロジーの裏側まで。田村淳と野村教授が語る、世界が重なり合う驚きの真実。
